"","employees","salaries_2017","salary_adjustments","adjusted_salaries_2018","salary_raised"
"1","Employee  1",45763.2300723344,7597.91560354643,53361.1456758808,TRUE
"2","Employee  2",40328.2345901243,-3598.5498689115,36729.6847212128,FALSE
"3","Employee  3",43840.9497006796,7587.42670645006,51428.3764071297,TRUE
"4","Employee  4",43066.3149850443,5587.5185446348,48653.8335296791,TRUE
"5","Employee  5",41955.3517643362,-712.932337773964,41242.4194265623,FALSE
"6","Employee  6",49280.1703116857,5526.54281142168,54806.7131231073,TRUE
"7","Employee  7",46027.6711382903,-360.86612730287,45666.8050109874,FALSE
"8","Employee  8",47196.7521612532,-3417.38734627143,43779.3648149818,FALSE
"9","Employee  9",49840.6276875176,3533.31203339621,53373.9397209138,TRUE
"10","Employee  10",40134.9185407162,-1785.20691115409,38349.7116295621,FALSE
"11","Employee  11",42346.1475083604,458.39374884963,42804.5412572101,TRUE
"12","Employee  12",43799.6096210554,5062.18726513907,48861.7968861945,TRUE
"13","Employee  13",42424.5715304278,-3414.77963142097,39009.7918990068,FALSE
"14","Employee  14",47548.1514376588,7669.54107559286,55217.6925132517,TRUE
"15","Employee  15",49216.7079728097,2845.24160902947,52061.9495818391,TRUE
"16","Employee  16",48642.1391391195,545.253731543198,49187.3928706627,TRUE
"17","Employee  17",45568.5988115147,6596.45113162696,52165.0499431416,TRUE
"18","Employee  18",44587.2209058143,-1763.40443547815,42823.8164703362,FALSE
"19","Employee  19",41224.2977856658,-1788.44018490054,39435.8576007653,FALSE
"20","Employee  20",46903.3345580101,2348.86433929205,49252.1988973022,TRUE
"21","Employee  21",43520.11783747,8468.00661296584,51988.1244504359,TRUE
"22","Employee  22",45818.282221444,4994.0433492884,50812.3255707324,TRUE
"23","Employee  23",48547.5861257873,6676.15124373697,55223.7373695243,TRUE
"24","Employee  24",45691.0227611661,-3417.05186408944,42273.9708970767,FALSE
"25","Employee  25",44255.7648592629,-1789.32258975692,42466.4422695059,FALSE
"26","Employee  26",43767.7368684672,9362.80908645131,53130.5459549185,TRUE
"27","Employee  27",40592.441263143,4521.43041999079,45113.8716831338,TRUE
"28","Employee  28",48886.1016696319,3684.07359230332,52570.1752619352,TRUE
"29","Employee  29",42834.8576021381,5355.53278867155,48190.3903908096,TRUE
"30","Employee  30",47903.0952695757,4742.38058668561,52645.4758562613,TRUE
"31","Employee  31",44682.7547717839,-3773.3886751812,40909.3660966028,FALSE
"32","Employee  32",47568.372131791,-2959.10286833532,44609.2692634556,FALSE
"33","Employee  33",41779.6216951683,-3523.19239987992,38256.4292952884,FALSE
"34","Employee  34",42864.0182525851,3344.07378453761,46208.0920371227,TRUE
"35","Employee  35",43798.0032013729,-1729.72801607102,42068.2751853019,FALSE
"36","Employee  36",43094.7114131413,2937.93493881822,46032.6463519596,TRUE
"37","Employee  37",48055.4586555809,9675.10581715032,57730.5644727312,TRUE
"38","Employee  38",45170.8339643665,1758.65661236458,46929.490576731,TRUE
"39","Employee  39",48403.6985994317,4767.68100867048,53171.3796081021,TRUE
"40","Employee  40",49585.5549140833,2404.7835811507,51990.338495234,TRUE
"41","Employee  41",42280.3282621317,6250.71289134212,48531.0411534738,TRUE
"42","Employee  42",47933.3095019683,4945.63762797043,52878.9471299388,TRUE
"43","Employee  43",41789.6685400046,-4518.81953980774,37270.8490001969,FALSE
"44","Employee  44",47552.2747705691,9494.43315388635,57046.7079244554,TRUE
"45","Employee  45",47072.2073176876,4800.06202938966,51872.2693470772,TRUE
"46","Employee  46",42208.0543264747,2532.7932392247,44740.8475656994,TRUE
"47","Employee  47",41837.0567588136,-2856.32024868391,38980.7365101296,FALSE
"48","Employee  48",49877.4744966067,9343.12227298506,59220.5967695918,TRUE
"49","Employee  49",40995.6592693925,6779.45735515095,47775.1166245434,TRUE
"50","Employee  50",48521.7026551254,-2334.53951193951,46187.1631431859,FALSE
"51","Employee  51",46292.0337566175,5723.57687982731,52015.6106364448,TRUE
"52","Employee  52",45619.0380919725,-3219.26868753508,42399.7694044374,FALSE
"53","Employee  53",46582.3505818844,8666.81194165722,55249.1625235416,TRUE
"54","Employee  54",41437.1008309536,7939.13821573369,49376.2390466873,TRUE
"55","Employee  55",40295.9192008711,-1069.61176963523,39226.3074312359,FALSE
"56","Employee  56",40836.1584530212,2848.46263122745,43684.6210842486,TRUE
"57","Employee  57",45418.1297821924,-3429.81497058645,41988.314811606,FALSE
"58","Employee  58",40437.9502846859,8780.88870435022,49218.8389890362,TRUE
"59","Employee  59",46165.1020566933,-4850.6368114613,41314.465245232,FALSE
"60","Employee  60",45284.3743609264,-1089.50424357317,44194.8701173533,FALSE
"61","Employee  61",41426.8050552346,-2315.8636118751,39110.9414433595,FALSE
"62","Employee  62",45130.7135098614,-2739.71896502189,42390.9945448395,FALSE
"63","Employee  63",43720.6040369347,-951.438501942903,42769.1655349918,FALSE
"64","Employee  64",40389.1327581368,2742.31854360551,43131.4513017423,TRUE
"65","Employee  65",48560.3851405904,-4607.03179938719,43953.3533412032,FALSE
"66","Employee  66",40760.0198290311,585.894513642415,41345.9143426735,TRUE
"67","Employee  67",45247.579482384,-1984.85415312462,43262.7253292594,FALSE
"68","Employee  68",43819.2708743736,-4350.15174211003,39469.1191322636,FALSE
"69","Employee  69",48063.4593055584,6607.12299169973,54670.5822972581,TRUE
"70","Employee  70",48055.8451171964,1707.33605278656,49763.181169983,TRUE
"71","Employee  71",49320.5495039001,-1355.14285881072,47965.4066450894,FALSE
"72","Employee  72",41865.5164726079,5942.21725943498,47807.7337320428,TRUE
"73","Employee  73",43763.8227990828,-979.305109940469,42784.5176891424,FALSE
"74","Employee  74",48212.5221495517,6851.25599033199,55063.7781398837,TRUE
"75","Employee  75",44680.5878798477,6151.43691073172,50832.0247905795,TRUE
